"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"Ryan TrevittR. Trevitt",23,NA,"Central Midfield","CM","€275k",NA,"Wigan","End of loan31.05.2026","Brentford","https://tmssl.akamaized.net//images/wappen/homepageSmall/1148.png?lm=1625150543"
"Jayden MeghomaJ. Meghoma",19,NA,"Left-Back","LB","€500k",NA,"Rangers","End of loan31.05.2026","Brentford","https://tmssl.akamaized.net//images/wappen/homepageSmall/1148.png?lm=1625150543"
"Mads RoerslevM. Roerslev",26,NA,"Right-Back","RB","€6.00m",NA,"Wolfsburg","End of loan30.06.2025","Brentford","https://tmssl.akamaized.net//images/wappen/homepageSmall/1148.png?lm=1625150543"
"Ellery BalcombeE. Balcombe",25,NA,"Goalkeeper","GK","€400k",NA,"Motherwell FC","End of loan30.06.2025","Brentford","https://tmssl.akamaized.net//images/wappen/homepageSmall/1148.png?lm=1625150543"
"Jayden MeghomaJ. Meghoma",19,NA,"Left-Back","LB","€500k",NA,"Preston","End of loan30.06.2025","Brentford","https://tmssl.akamaized.net//images/wappen/homepageSmall/1148.png?lm=1625150543"
"Charalampos KostoulasC. Kostoulas",18,NA,"Centre-Forward","CF","€12.00m",NA,"Olympiacos","€35.00m","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Maxim De CuyperM. De Cuyper",24,NA,"Left-Back","LB","€16.00m",NA,"Club Brugge","€20.00m","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Tom WatsonT. Watson",19,NA,"Left Winger","LW","€8.00m",NA,"Sunderland","€12.00m","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Diego CoppolaD. Coppola",21,NA,"Centre-Back","CB","€10.00m",NA,"Hellas Verona","€11.00m","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Do-young YoonD. Yoon",18,NA,"Right Winger","RW","€800k",NA,"Daejeon Hana C.","€2.00m","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Olivier BoscagliO. Boscagli",27,NA,"Centre-Back","CB","€20.00m",NA,"PSV","free transfer","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"James BeadleJ. Beadle",20,NA,"Goalkeeper","GK","€5.00m",NA,"Brighton U21","-","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Andrew MoranA. Moran",21,NA,"Attacking Midfield","AM","€3.50m",NA,"Brighton U21","-","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Facundo BuonanotteF. Buonanotte",20,NA,"Attacking Midfield","AM","€20.00m",NA,"Leicester","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
"Ibrahim OsmanI. Osman",20,NA,"Left Winger","LW","€10.00m",NA,"Feyenoord","End of loan30.06.2025","Brighton","https://tmssl.akamaized.net//images/wappen/homepageSmall/1237.png?lm=1492718902"
